 C     C    0.00000    1.89002  0  2  0  0  1
 C     S    0.00000    2.15002  0  2  0  0  1
 C     F    0.00000    1.76002  0  2  1  0  1
 C    Br    0.00000    2.26002  0  2  1  0  1
 C     N    0.00000    1.79202  0  2  1  0  1
 C    Se    0.00000    2.01998  0  2  1  0  1
 C     I    0.00000    2.16998  0  2  1  0  1
 C    Te    0.00000    2.25998  0  1  1  0  1
 C     P    0.00000    1.93998  0  2  1  0  1
 C     H    0.00000    1.20000  0  1  0  0  1
Ca    Se    0.00000    3.42295  0  1  1  0  1
Ca    Te    0.00000    3.62295  0  1  1  0  1
Ca    Cl    0.00000    3.23295  0  1  1  0  1
Ca    Br    0.00000    3.36995  0  1  1  0  1
Ca     I    0.00000    3.58295  0  1  1  0  1
Ca     N    0.00000    3.00295  0  1  1  0  1
Ca     P    0.00000    3.41295  0  1  1  0  1
Ca    As    0.00000    3.48295  0  1  1  0  1
Ca     H    0.00000    2.69295  0  1  1  0  1
Cd     O    0.00000    2.76695  0  1  1  0  1
Cd     S    0.00000    3.16695  0  1  1  0  1
Cd    Se    0.00000    3.26295  0  1  1  0  1
Cd    Te    0.00000    3.45295  0  1  1  0  1
Cd     F    0.00000    2.67395  0  1  1  0  1
Cd    Cl    0.00000    3.09295  0  1  1  0  1
Cd    Br    0.00000    3.21295  0  1  1  0  1
Cd     I    0.00000    3.46295  0  1  1  0  1
Cd     N    0.00000    2.82295  0  1  1  0  1
Cd     P    0.00000    3.20295  0  1  1  0  1
Cd    As    0.00000    3.29295  0  1  1  0  1
Cd     H    0.00000    2.52295  0  1  1  0  1
Ce     O    0.00000    2.86393  0  1  1  0  1
Ce     S    0.00000    3.36293  0  1  1  0  1
Ce     F    0.00000    2.75452  0  1  1  0  1
Ce    Cl    0.00000    3.25293  0  1  1  0  1
Ce    Br    0.00000    3.40452  0  1  1  0  1
Ce     I    0.00000    3.62452  0  1  1  0  1
Ce     N    0.00000    2.78549  0  1  1  0  1
Ce    Se    0.00000    3.04644  0  1  1  0  1
Ce    Te    0.00000    3.22644  0  1  1  0  1
Ce     P    0.00000    3.00644  0  1  1  0  1
Ce    As    0.00000    3.08644  0  1  1  0  1
Ce     H    0.00000    2.34644  0  1  1  0  1
Cf     O    0.00000    2.63291  0  1  1  0  1
Cf     F    0.00000    2.53233  0  1  1  0  1
Cf    Cl    0.00000    3.01291  0  1  1  0  1
